algorithm,C4.5,CART,CN2,GUIDE,Genetic,ISM,ISM_pruned,QUESTGilles,QUESTLoh,RF,XGBoost,inTrees
C4.5,0-0-0,3-7-2,5-5-2,6-3-3,3-7-2,8-2-2,4-6-2,8-3-1,5-6-1,0-1-11,0-1-11,3-5-4
CART,2-7-3,0-0-0,6-2-4,4-5-3,3-5-4,6-6-0,5-4-3,6-5-1,2-5-5,1-1-10,0-1-11,2-5-5
CN2,2-5-5,4-2-6,0-0-0,6-2-4,3-4-5,8-2-2,5-1-6,8-0-4,6-1-5,0-2-10,0-1-11,2-5-5
GUIDE,3-3-6,3-5-4,4-2-6,0-0-0,0-6-6,5-5-2,2-6-4,7-3-2,3-4-5,0-1-11,0-1-11,2-4-6
Genetic,2-7-3,4-5-3,5-4-3,6-6-0,0-0-0,7-3-2,4-6-2,7-4-1,4-4-4,0-1-11,0-1-11,3-5-4
ISM,2-2-8,0-6-6,2-2-8,2-5-5,2-3-7,0-0-0,0-8-4,5-2-5,1-6-5,0-2-10,0-1-11,2-1-9
ISM_pruned,2-6-4,3-4-5,6-1-5,4-6-2,2-6-4,4-8-0,0-0-0,7-3-2,2-7-3,0-2-10,0-1-11,4-3-5
QUESTGilles,1-3-8,1-5-6,4-0-8,2-3-7,1-4-7,5-2-5,2-3-7,0-0-0,0-5-7,0-1-11,0-1-11,1-4-7
QUESTLoh,1-6-5,5-5-2,5-1-6,5-4-3,4-4-4,5-6-1,3-7-2,7-5-0,0-0-0,1-0-11,1-0-11,2-6-4
RF,11-1-0,10-1-1,10-2-0,11-1-0,11-1-0,10-2-0,10-2-0,11-1-0,11-0-1,0-0-0,1-6-5,10-2-0
XGBoost,11-1-0,11-1-0,11-1-0,11-1-0,11-1-0,11-1-0,11-1-0,11-1-0,11-0-1,5-6-1,0-0-0,11-1-0
inTrees,4-5-3,5-5-2,5-5-2,6-4-2,4-5-3,9-1-2,5-3-4,7-4-1,4-6-2,0-2-10,0-1-11,0-0-0
